seed,case_qa_pass,solver_success,physical_bounds_ok_metadata,completed_to_t_end,mass_balance_ok,timeseries_mean_bounds_ok,uptake_monotonic_ok,practical_equilibrium_reached,error,atol,axial_loading_bin_cv,axial_loading_bottom_minus_top_over_mean,b_pa,diffusivity,end_adsorption_rate_mol_s,end_relative_uptake_rate_per_s,final_adsorbed_inventory_mol,final_gas_inventory_mol,final_mean_gas_concentration_mol_m3,final_relative_mass_balance_error,final_reservoir_input_mol,final_time_s,final_total_inventory_mol,final_uptake_mol_kg,initial_concentration,initial_loading,inlet_concentration,inlet_equilibrium_loading_mol_kg,k_ldf,late_uptake_fraction,max_step,maximum_absolute_mass_balance_residual_mol,maximum_adsorption_rate_mol_s,maximum_relative_mass_balance_error,metadata_file,minimum_mean_gas_concentration_mol_m3,minimum_mean_loading_mol_kg,mode,network_analytic_porosity,network_degree_cv,network_directory,network_geometric_tortuosity,network_inlet_pores,network_largest_component_fraction,network_mean_degree,network_mean_pore_volume_m3,network_mean_throat_length_m,network_mean_throat_radius_m,network_median_pore_volume_m3,network_median_throat_radius_m,network_minimum_throat_radius_m,network_outlet_pores,network_pore_count,network_pore_volume_cv,network_ready_for_transport,network_shortest_inlet_outlet_path_m,network_throat_count,network_throat_radius_p10_m,network_total_pore_volume_m3,normalized_uptake_auc,particle_count,particle_density,particle_loading_cv,particle_loading_max_mol_kg,particle_loading_mean_unweighted_mol_kg,particle_loading_min_mol_kg,particle_loading_std_mol_kg,pore_count,qsat,result_directory,rhs_evaluations,rtol,t10_final_uptake_s,t50_final_uptake_s,t90_final_uptake_s,t95_final_uptake_s,t_end,temperature,throat_count,time_of_maximum_rate_s,toth_exponent,underutilized_loading_threshold_mol_kg,underutilized_particle_fraction
31991,True,True,True,True,True,True,True,False,,1e-10,1.7727080014524794,5.284202516318812,5.093e-05,1.5e-05,2.2602290922824483e-07,0.00011831080182282691,0.001910416510968451,1.919563878878962e-06,0.5954969765157536,2.3927671978635307e-14,0.0019121514086175922,5000.0,0.0019123360748473299,0.30093852052595904,0.0,0.0,6.05,2.309036967044178,0.00855,0.059770529799269535,,4.575333167888829e-17,2.8067400121760868e-06,3.11532859737895e-14,co2_adsorption_campaign_5000s/seed_31991/run_metadata.json,0.057288107291473406,0.0,adsorption,0.4486273931922884,0.09858200127362848,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_31991,1.0289870980498634,20,1.0,3.856263269639066,3.4219377549878024e-10,0.0006817533719923201,0.00028596132648081634,2.46913909868369e-10,0.0002788533178200726,0.00012323697456596199,25,9420,1.031264615856174,True,0.0366395433287718,18163,0.0001396438325035616,3.22346536519851e-06,0.6380041389643463,1850,1600.0,1.7989526428889453,2.2893339769091954,0.30093852052595943,2.4416198337383442e-08,0.5413741468472638,9420,5.332,co2_adsorption_campaign_5000s/seed_31991,769,1e-06,87.76921106956753,1476.4648683434327,4174.7486394584175,4580.503867204548,5000.0,298.15,18163,0.5658322842428334,1.0,1.154518483522089,0.8897297297297297
40213,True,True,True,True,True,True,True,False,,1e-10,1.7781391203836854,5.386935940175193,5.093e-05,1.5e-05,2.063650154976211e-07,0.00011913178737575274,0.0017322414113264887,1.745150459483712e-06,0.5523668180442359,2.5013165792311707e-16,0.001733810396473293,5000.0,0.0017339865617859724,0.27287147306643106,0.0,0.0,6.05,2.309036967044178,0.00855,0.06009440170434671,,5.854691731421724e-18,2.654333836864821e-06,4.2814179444822844e-14,co2_adsorption_campaign_5000s/seed_40213/run_metadata.json,0.05575901647075468,0.0,adsorption,0.4436563661721765,0.10187377279491239,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_40213,1.1331850737613525,19,1.0,3.8512590695689286,3.3711107027461895e-10,0.0006773932067395516,0.0002828064818544333,2.4635574789053735e-10,0.00027393281868995617,0.0001233039946272297,9,9372,1.0220391258355814,True,0.038840291228939644,18047,0.00014123161796455753,3.159404950613729e-06,0.6413585992633645,1850,1600.0,1.8690290626201709,2.289247471868095,0.27287147306643106,4.0540041442524615e-08,0.5100047135211369,9372,5.332,co2_adsorption_campaign_5000s/seed_40213,775,1e-06,83.25721245313635,1440.2957223571734,4177.532789788293,4582.905585244117,5000.0,298.15,18047,0.5658322842428334,1.0,1.154518483522089,0.9097297297297298
47837,True,True,True,True,True,True,True,False,,1e-10,1.8089493251840767,5.449199552324112,5.093e-05,1.5e-05,2.0347160961716805e-07,0.00011767804271630022,0.0017290533129251657,1.7557830288752976e-06,0.5480031255218306,3.848131321797126e-12,0.0017306071096189143,5000.0,0.001730809095954041,0.27236926759936303,0.0,0.0,6.05,2.309036967044178,0.00855,0.05934679778745543,,6.6596034242749624e-15,2.8313515239950953e-06,3.848131321797126e-12,co2_adsorption_campaign_5000s/seed_47837/run_metadata.json,0.0630426069122496,0.0,adsorption,0.4470947964020088,0.09920694781010529,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_47837,1.1296619362305838,20,1.0,3.853830537450582,3.4234056581853654e-10,0.0006798700833304498,0.00028325292775321963,2.4798038359313356e-10,0.000276086855336134,0.00012332910937292384,15,9359,1.0592402492925843,True,0.03834474990766009,18034,0.0001396536368734638,3.2039653554956836e-06,0.6471104931141498,1850,1600.0,1.8787156559989784,2.2761294372047685,0.2723692675993631,4.0482585183647466e-08,0.5117044072518987,9359,5.332,co2_adsorption_campaign_5000s/seed_47837,792,1e-06,76.74044957179487,1389.3328329985673,4167.131104814486,4577.75970415029,5000.0,298.15,18034,0.5658322842428334,1.0,1.154518483522089,0.912972972972973
52691,True,True,True,True,True,True,True,False,,1e-10,1.8088711363074383,5.464966973942366,5.093e-05,1.5e-05,2.1035580635176025e-07,0.0001167676296544807,0.001801490763957529,1.8437424965545732e-06,0.5735733422033263,1.0462439722707626e-14,0.0018031279798250903,5000.0,0.0018033345064540835,0.2837799831261569,0.0,0.0,6.05,2.309036967044178,0.00855,0.058935585255078644,,1.929879867024198e-17,2.8487796188561196e-06,9.229443170122702e-14,co2_adsorption_campaign_5000s/seed_52691/run_metadata.json,0.06424875982200266,0.0,adsorption,0.4479874483615318,0.0988661983478699,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_52691,1.0875143867517387,22,1.0,3.855689764780674,3.4058956220024487e-10,0.000678201944649265,0.00028617528780992043,2.46624841375956e-10,0.00027855800447007496,0.00012330254670419162,15,9438,1.0412460170855835,True,0.03736613350419295,18195,0.00014053955968155622,3.214484288045911e-06,0.646187991391601,1850,1600.0,1.8533860727015974,2.2944461288873708,0.283779983126157,3.7184897820769674e-08,0.5259538684375137,9438,5.332,co2_adsorption_campaign_5000s/seed_52691,815,1e-06,79.85198056629021,1399.5608341871634,4162.341561641816,4574.768998625226,5000.0,298.15,18195,0.6017880726892569,1.0,1.154518483522089,0.9021621621621622
61417,True,True,True,True,True,True,True,False,,1e-10,1.8440922196792349,5.660483039569957,5.093e-05,1.5e-05,1.7992768994659268e-07,0.00012894687308844435,0.0013953629555885447,1.3724652356916005e-06,0.42950449431325954,1.3974119088449154e-15,0.0013965559461183127,5000.0,0.0013967354208242364,0.2198046661765272,0.0,0.0,6.05,2.309036967044178,0.00855,0.06492010918071338,,3.2526065174565133e-18,2.2149782095035852e-06,5.664052140486194e-14,co2_adsorption_campaign_5000s/seed_61417/run_metadata.json,0.05616549753390219,0.0,adsorption,0.446556851549834,0.09916435732158885,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_61417,1.1152928181920974,17,1.0,3.8536689419795223,3.4081291303408e-10,0.0006807116742019985,0.00028522935650830927,2.493449470758385e-10,0.0002781336487940589,0.00012325758260163435,20,9376,1.0329804439502444,True,0.03908665871394661,18066,0.00014158465751717254,3.1954618726075343e-06,0.6290620698583386,1850,1600.0,1.9748864004880888,2.284490958641367,0.21980466617652716,1.7584707266714156e-08,0.4340892459958477,9376,5.332,co2_adsorption_campaign_5000s/seed_61417,759,1e-06,80.79903921143016,1550.0388685615542,4235.664277450336,4613.749589504086,5000.0,298.15,18066,0.5658322842428334,1.0,1.154518483522089,0.9475675675675675
69371,True,True,True,True,True,True,True,False,,1e-10,1.7792505310194655,5.3775554826145395,5.093e-05,1.5e-05,2.2017642503836025e-07,0.00011551190994593688,0.001906092844810631,1.9629983819034136e-06,0.6206893111144057,1.704847141916143e-15,0.0019078581519049143,5000.0,0.0019080558431925345,0.30025743465316007,0.0,0.0,6.05,2.309036967044178,0.00855,0.05835567652538622,,7.15573433840433e-18,2.9547793814905093e-06,8.344402726304319e-14,co2_adsorption_campaign_5000s/seed_69371/run_metadata.json,0.0625088997808337,0.0,adsorption,0.44397080151578033,0.100233879016089,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_69371,1.087838198248849,22,1.0,3.854002134471718,3.375251074986314e-10,0.0006802444761834221,0.00027889460247203023,2.431318720730488e-10,0.00027306120492810845,0.000123317638786007,10,9370,1.0761258139449617,True,0.03691755055018001,18056,0.00013879122588858158,3.1626102572621764e-06,0.6448005050880383,1850,1600.0,1.8161981765022097,2.282271620977389,0.30025743465316035,2.5474793779225973e-08,0.5453270052983012,9370,5.332,co2_adsorption_campaign_5000s/seed_69371,709,1e-06,81.98401556810617,1418.9482139678498,4155.290701615194,4570.516939397728,5000.0,298.15,18056,0.6017880726892569,1.0,1.154518483522089,0.8913513513513514
74167,True,True,True,True,True,True,True,False,,1e-10,1.8945397055566087,5.6813403051225615,5.093e-05,1.5e-05,1.9486221843543337e-07,0.0001222274659822631,0.001594258842474167,1.5772686230400707e-06,0.49348280584028603,8.15370658979738e-15,0.001595645603204047,5000.0,0.001595836111097207,0.25113575737805527,0.0,0.0,6.05,2.309036967044178,0.00855,0.06162552795196592,,1.3010426069826053e-17,2.456215668260358e-06,1.0936225283335353e-13,co2_adsorption_campaign_5000s/seed_74167/run_metadata.json,0.05960453931841568,0.0,adsorption,0.44682474343937717,0.10052009786735501,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_74167,1.10213663639689,19,1.0,3.8513759503158798,3.4224196685062804e-10,0.0006812405331248118,0.0002837192432251287,2.4920319890345713e-10,0.00027576943151552105,0.0001233411722775296,20,9339,1.0484247527727442,True,0.03882759971812072,17984,0.00013845326414317025,3.1961977284180152e-06,0.6375841914683915,1850,1600.0,1.925381959854167,2.260640270937527,0.25113575737805527,2.496520218495112e-08,0.48353225673002065,9339,5.332,co2_adsorption_campaign_5000s/seed_74167,700,1e-06,82.86350300071751,1472.8286018941862,4196.99526605135,4593.175340939316,5000.0,298.15,17984,0.5658322842428334,1.0,1.154518483522089,0.9286486486486486
81929,True,True,True,True,True,True,True,False,,1e-10,1.8302042202326687,5.635494637026531,5.093e-05,1.5e-05,1.962207585107911e-07,0.00012154558311318992,0.0016143800003662787,1.6196222521733033e-06,0.5058259949575875,2.5498242908721442e-15,0.0016157851622143377,5000.0,0.001615999622618452,0.25430534445634734,0.0,0.0,6.05,2.309036967044178,0.00855,0.06128105458526679,,4.553649124439119e-18,2.6453658892469795e-06,1.0898305430335142e-13,co2_adsorption_campaign_5000s/seed_81929/run_metadata.json,0.06697836309820746,0.0,adsorption,0.4469594167405619,0.10062131989331179,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_81929,1.1343611557800712,19,1.0,3.852824949268397,3.419775267779414e-10,0.0006807959018760725,0.000284580016738525,2.4619625090322103e-10,0.00027748051305037603,0.00012330127467202008,10,9363,1.020073428317974,True,0.038498373620590644,18037,0.0001391915768989086,3.2019355832218657e-06,0.6396122669875264,1850,1600.0,1.908468969907525,2.2830030124259166,0.25430534445634745,2.5391304637528814e-08,0.48533385877658375,9363,5.332,co2_adsorption_campaign_5000s/seed_81929,763,1e-06,77.56896643073105,1459.1607613048122,4192.581361299485,4590.924182052961,5000.0,298.15,18037,0.5658322842428334,1.0,1.154518483522089,0.9227027027027027
90709,True,True,True,True,True,True,True,False,,1e-10,1.773730561196008,5.3713328451612785,5.093e-05,1.5e-05,2.277389559932332e-07,0.00011984880862419052,0.0019002187723647168,2.0003263574369758e-06,0.6184470759284398,4.582960018430911e-14,0.0019020426605789876,5000.0,0.0019022190987221538,0.2993321209002761,0.0,0.0,6.05,2.309036967044178,0.00855,0.060560268268563,,8.716985466783456e-17,2.532918356372133e-06,8.165291164321404e-14,co2_adsorption_campaign_5000s/seed_90709/run_metadata.json,0.05454992550169949,0.0,adsorption,0.44938657236188645,0.09965667806043847,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_90709,1.0666464675316922,20,1.0,3.8562049978822532,3.4248561778843523e-10,0.0006790571912143727,0.0002860770807698483,2.472918905848172e-10,0.000279679073986651,0.00012322656812577238,12,9444,1.077524353207562,True,0.037165926245803914,18209,0.00013944427514423567,3.2344341743939825e-06,0.6322437940593719,1850,1600.0,1.7961373596063783,2.292035987415571,0.29933212090027633,3.810504589150513e-08,0.5376416052791996,9444,5.332,co2_adsorption_campaign_5000s/seed_90709,743,1e-06,98.04545948967505,1522.916753354754,4185.450579701636,4585.850085347942,5000.0,298.15,18209,0.6017880726892569,1.0,1.154518483522089,0.8902702702702703
98251,True,True,True,True,True,True,True,False,,1e-10,1.7599895508470573,5.378150272301444,5.093e-05,1.5e-05,2.2850138132556796e-07,0.0001116463068603201,0.002046654186344421,2.125865900205844e-06,0.6737591705868295,5.292477319371506e-15,0.0020485721658496515,5000.0,0.0020487800522446266,0.32239937172366806,0.0,0.0,6.05,2.309036967044178,0.00855,0.056442778662283546,,1.0842021724855044e-17,3.06753855874983e-06,6.665176204807977e-14,co2_adsorption_campaign_5000s/seed_98251/run_metadata.json,0.06588626547352201,0.0,adsorption,0.44339975747362975,0.10131319769697772,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_98251,1.1035250242048156,20,1.0,3.8520653218059557,3.3677352083598174e-10,0.0006794614813672089,0.0002827945534749724,2.46212050425731e-10,0.0002757874027420785,0.00012331206076572078,23,9369,0.9827229191648452,True,0.038992484335001534,18045,0.000139836654400387,3.155231116712313e-06,0.6502682317407001,1850,1600.0,1.783062446435458,2.2927648828974,0.322399371723668,2.9411820271178675e-08,0.5748582124748581,9369,5.332,co2_adsorption_campaign_5000s/seed_98251,767,1e-06,84.70904717412247,1367.7523613381366,4128.994566480407,4556.158426491101,5000.0,298.15,18045,0.6017880726892569,1.0,1.154518483522089,0.874054054054054
